sample	detailed_category	primary disease or tissue	_primary_site	_sample_type	_gender	_study
GTEX-U8T8-1126-SM-4DXUE	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-Y3I4-2026-SM-4TT6Z	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11NSD-1026-SM-5N9BE	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-R55C-1426-SM-48FED	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-SUCS-1326-SM-4DM5T	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-WFG8-1926-SM-4LVM1	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-YF7O-2026-SM-4W1YE	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZT9W-2226-SM-57WFU	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-12696-0226-SM-5EGL3	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-XPT6-1626-SM-4B655	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11EQ9-1926-SM-5PNVV	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-12WSL-2326-SM-5DUXQ	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-YFCO-1726-SM-4W21S	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-145MH-2326-SM-5O9AW	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZYFC-0126-SM-5GIEH	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-145MO-0126-SM-5S2QU	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-PW2O-1426-SM-48TCD	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-WHSB-2126-SM-4M1XF	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-R55E-0726-SM-48FCZ	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11P7K-1026-SM-5HL6Y	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-Q2AI-1226-SM-48U14	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-X3Y1-2626-SM-4PQZI	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-P4QR-0226-SM-3NMCH	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-145LT-0426-SM-5LUAP	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-117YW-1526-SM-5EGGP	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-T5JC-0726-SM-4DM55	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-S3XE-1526-SM-4AD5A	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-13FTW-1326-SM-5LZZD	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-RWSA-2426-SM-47JXR	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-Y9LG-1726-SM-4VBQE	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-U8XE-0126-SM-4E3I3	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-YEC3-1726-SM-5IFIK	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-YEC4-1526-SM-4W1YU	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-YB5E-1926-SM-5IFIG	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-U3ZM-1626-SM-4DXSK	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-NFK9-0126-SM-3LK5H	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-NPJ8-1226-SM-3MJHM	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-S4Z8-2126-SM-4AD5H	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-131XF-2026-SM-5DUWG	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-SNMC-1026-SM-4DM7K	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-S7SE-0326-SM-4AT5Q	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-QLQW-1026-SM-447A9	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-1399Q-2826-SM-5IJEZ	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-13OVH-0726-SM-5N9BU	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-QMRM-1526-SM-4R1K6	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11UD2-2826-SM-5GU6X	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZT9X-1426-SM-5DUX1	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11WQK-2826-SM-5EQKH	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-QV44-1726-SM-4R1KG	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-QEG4-0126-SM-48TZE	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-RM2N-1326-SM-48FCW	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11DXY-0226-SM-5H123	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-WZTO-0326-SM-4PQYZ	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZA64-1626-SM-5CVME	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-P4PQ-2126-SM-3NMCV	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZLFU-2026-SM-4WWG2	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-PLZ5-1526-SM-3P5ZX	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-145MF-1726-SM-5LU9H	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-T8EM-0126-SM-4DM5R	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-144GN-1626-SM-5Q5BU	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11TT1-2226-SM-5GU6B	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-WH7G-1926-SM-4LVMM	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-111CU-1726-SM-5EGHM	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-S4Q7-1226-SM-4AD5I	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-WY7C-2226-SM-4ONCS	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZAB4-0126-SM-5CVMG	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-Y8E4-2226-SM-5LU94	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-U3ZH-1526-SM-4DXV1	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-WVJS-2726-SM-4MVNU	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-X4XX-0726-SM-4QARS	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-13QJ3-0226-SM-5S2PU	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-WOFM-1126-SM-4OOSB	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZTX8-1126-SM-51MRM	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-147F4-0626-SM-5LUAK	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-XLM4-1526-SM-4AT6D	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-14A6H-2326-SM-5Q5B5	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11ONC-2226-SM-5HL6D	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-R55D-0126-SM-48FEL	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZY6K-1726-SM-5GZX8	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-SIU7-1526-SM-4BRWQ	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-QDVN-1926-SM-48TZ8	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-RN64-2326-SM-48FDW	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-X261-2326-SM-4PQYU	Testis	Testis	Testis	Normal Tissue	Male	GTEX
